datetimestamp,underlyingSymbol,underlyingPrice,underlyingVol,putCall,strikePrice,expirationType,inTheMoney,lastTradingDay,expirationDate,daysToExpiration,openInterest,theoreticalVolatility,volatility,theoreticalOptionValue,closePrice,last,mark,bid,ask
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,367.5,S,False,2020-08-01 00:00:00,2020-07-31 20:00:00,34,263,29.0,35.578,9.775,10.56,10.76,9.78,8.55,11.0
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,370.0,S,False,2020-08-01 00:00:00,2020-07-31 20:00:00,34,1265,29.0,37.222,9.625,9.46,9.92,9.63,9.0,10.25
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,372.5,S,False,2020-08-01 00:00:00,2020-07-31 20:00:00,34,234,29.0,35.314,8.075,8.35,9.75,8.07,6.7,9.45
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,375.0,S,False,2020-08-01 00:00:00,2020-07-31 20:00:00,34,448,29.0,35.286,7.35,7.42,8.5,7.35,6.2,8.5
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,377.5,S,False,2020-08-01 00:00:00,2020-07-31 20:00:00,34,28,29.0,34.72,6.475,6.91,8.85,6.48,5.15,7.8
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,330.0,S,True,2020-08-08 00:00:00,2020-08-07 20:00:00,41,1,29.0,42.176,33.35,33.9,34.0,33.35,31.0,35.7
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,332.5,S,True,2020-08-08 00:00:00,2020-08-07 20:00:00,41,1,29.0,42.106,31.7,32.05,34.78,31.7,29.5,33.9
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,335.0,S,True,2020-08-08 00:00:00,2020-08-07 20:00:00,41,7,29.0,41.521,29.875,30.2,32.04,29.88,27.6,32.15
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,337.5,S,True,2020-08-08 00:00:00,2020-08-07 20:00:00,41,0,29.0,41.811,28.475,28.36,0.0,28.48,26.3,30.65
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,340.0,S,True,2020-08-08 00:00:00,2020-08-07 20:00:00,41,3,29.0,41.2,26.725,26.65,27.9,26.73,24.6,28.85
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,342.5,S,True,2020-08-08 00:00:00,2020-08-07 20:00:00,41,0,29.0,40.881,25.15,25.06,28.3,25.15,23.1,27.2
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,345.0,S,True,2020-08-08 00:00:00,2020-08-07 20:00:00,41,10,29.0,39.921,23.325,23.49,26.12,23.33,21.05,25.6
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,347.5,S,True,2020-08-08 00:00:00,2020-08-07 20:00:00,41,1,29.0,39.991,22.025,21.93,25.85,22.03,19.6,24.45
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,350.0,S,True,2020-08-08 00:00:00,2020-08-07 20:00:00,41,10,29.0,41.427,21.425,20.36,20.5,21.43,20.0,22.85
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,352.5,S,True,2020-08-08 00:00:00,2020-08-07 20:00:00,41,11,29.0,39.007,19.05,19.06,21.0,19.05,16.65,21.45
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,355.0,S,False,2020-08-08 00:00:00,2020-08-07 20:00:00,41,1,29.0,38.435,17.6,17.75,17.8,17.6,15.5,19.7
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,357.5,S,False,2020-08-08 00:00:00,2020-08-07 20:00:00,41,4,29.0,38.694,16.6,16.57,16.7,16.6,14.3,18.9
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,360.0,S,False,2020-08-08 00:00:00,2020-08-07 20:00:00,41,20,29.0,38.108,15.25,15.39,15.08,15.25,13.0,17.5
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,362.5,S,False,2020-08-08 00:00:00,2020-08-07 20:00:00,41,24,29.0,38.146,14.25,14.32,15.72,14.25,12.0,16.5
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,365.0,S,False,2020-08-08 00:00:00,2020-08-07 20:00:00,41,24,29.0,37.702,13.075,13.26,13.0,13.08,10.8,15.35
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,367.5,S,False,2020-08-08 00:00:00,2020-08-07 20:00:00,41,4,29.0,37.355,12.0,12.19,12.35,12.0,9.6,14.4
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,370.0,S,False,2020-08-08 00:00:00,2020-08-07 20:00:00,41,16,29.0,35.625,10.35,11.12,10.8,10.35,9.0,11.7
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,372.5,S,False,2020-08-08 00:00:00,2020-08-07 20:00:00,41,9,29.0,35.679,9.575,10.05,12.4,9.57,8.4,10.75
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,375.0,S,False,2020-08-08 00:00:00,2020-08-07 20:00:00,41,7,29.0,35.623,8.8,8.98,9.2,8.8,7.7,9.9
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,377.5,S,False,2020-08-08 00:00:00,2020-08-07 20:00:00,41,8,29.0,34.506,7.625,8.21,8.5,7.63,6.2,9.05
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,305.0,R,True,2020-08-22 00:00:00,2020-08-21 20:00:00,55,186,29.0,46.101,55.175,55.85,57.08,55.18,54.25,56.1
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,310.0,R,True,2020-08-22 00:00:00,2020-08-21 20:00:00,55,219,29.0,43.648,50.475,51.58,51.7,50.48,49.35,51.6
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,315.0,R,True,2020-08-22 00:00:00,2020-08-21 20:00:00,55,135,29.0,43.892,46.9,47.62,48.59,46.9,45.25,48.55
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,320.0,R,True,2020-08-22 00:00:00,2020-08-21 20:00:00,55,511,29.0,43.075,43.025,43.67,43.9,43.03,41.4,44.65
